index,pos,driver,gap,lap no
24,17,George,+13.607,2
24,18,Nicholas,+14.653,2
24,19,Kimi,+15.045,2
24,20,Sebastian,+15.158,2
25,1,Valtteri,LEADER,2
25,2,Lewis,+1.019,2
25,3,Max,+2.932,2
25,4,Nico,+4.518,2
25,5,Lance,+5.211,2
25,6,Daniel,+6.349,2
25,7,Pierre,+7.059,2
25,8,Lando,+8.094,2
25,9,Alexander,+8.501,2
25,10,Charles,+9.375,2
25,11,Carlos,+10.227,2
25,12,Esteban,+10.628,2
25,13,Kevin,+11.238,2
25,14,Daniil,+11.796,2
25,15,Antonio,+12.643,2
25,16,Romain,+13.067,2
25,17,George,+13.844,2
25,18,Nicholas,+14.727,2
25,19,Kimi,+15.401,2
25,20,Sebastian,+16.030,2
26,1,Valtteri,LEADER,2
26,2,Lewis,+1.019,2
26,3,Max,+2.932,2
26,4,Nico,+4.528,2
26,5,Lance,+5.211,2
26,6,Daniel,+6.621,2
26,7,Pierre,+7.333,2
26,8,Lando,+8.094,2
26,9,Alexander,+8.501,2
26,10,Charles,+9.375,2
26,11,Carlos,+10.227,2
26,12,Esteban,+11.040,2
26,13,Kevin,+11.691,2
26,14,Daniil,+11.796,2
26,15,Antonio,+12.643,2
26,16,Romain,+13.067,2
26,17,George,+13.844,2
26,18,Nicholas,+14.676,2
26,19,Kimi,+15.369,2
26,20,Sebastian,+16.030,2
27,1,Valtteri,LEADER,2
27,2,Lewis,+1.019,2
27,3,Max,+3.011,2
27,4,Nico,+4.638,2
27,5,Lance,+5.251,2
27,6,Daniel,+6.770,2
27,7,Pierre,+7.539,2
27,8,Lando,+8.579,2
27,9,Alexander,+9.020,2
27,10,Charles,+9.876,2
27,11,Carlos,+10.656,2
27,12,Esteban,+11.316,2
27,13,Kevin,+12.185,2
27,14,Daniil,+12.385,2
27,15,Antonio,+13.490,2
27,16,Romain,+14.123,2
27,17,George,+14.634,2
27,18,Nicholas,+15.400,2
27,19,Kimi,+16.074,2
27,20,Sebastian,+17.044,2
28,1,Valtteri,LEADER,3
28,2,Lewis,+1.066,3
28,3,Max,+3.057,3
28,4,Nico,+4.658,3
28,5,Lance,+5.460,3
28,6,Daniel,+7.053,3
28,7,Pierre,+7.744,3
28,8,Lando,+8.797,3
28,9,Alexander,+9.293,3
28,10,Charles,+10.120,3
28,11,Carlos,+11.193,3
28,12,Esteban,+11.711,3
28,13,Kevin,+12.319,3
28,14,Daniil,+12.750,3
28,15,Antonio,+13.745,3
28,16,Romain,+14.089,3
28,17,George,+14.711,3
28,18,Nicholas,+15.376,3
28,19,Kimi,+16.086,3
28,20,Sebastian,+17.084,3
29,1,Valtteri,LEADER,3
29,2,Lewis,+1.057,3
29,3,Max,+3.036,3
29,4,Nico,+4.780,3
29,5,Lance,+5.846,3
29,6,Daniel,+7.195,3
29,7,Pierre,+7.744,3
29,8,Lando,+8.797,3
29,9,Alexander,+9.293,3
29,10,Charles,+10.137,3
29,11,Carlos,+11.250,3
29,12,Esteban,+12.119,3
29,13,Kevin,+12.720,3
29,14,Daniil,+13.157,3
29,15,Antonio,+14.015,3
29,16,Romain,+14.546,3
29,17,George,+14.973,3
29,18,Nicholas,+15.376,3
29,19,Kimi,+16.086,3
29,20,Sebastian,+17.405,3
30,1,Valtteri,LEADER,3
30,2,Lewis,+0.850,3
30,3,Max,+2.992,3
30,4,Nico,+4.653,3
30,5,Lance,+5.864,3
30,6,Daniel,+7.232,3
30,7,Pierre,+8.086,3
30,8,Lando,+9.037,3
30,9,Alexander,+9.772,3
30,10,Charles,+10.553,3
30,11,Carlos,+11.518,3
30,12,Esteban,+12.429,3
30,13,Kevin,+13.271,3
30,14,Daniil,+13.157,3
30,15,Antonio,+14.015,3
30,16,Romain,+14.587,3
30,17,George,+15.045,3
30,18,Nicholas,+15.669,3
30,19,Kimi,+16.454,3
30,20,Sebastian,+17.710,3
31,1,Valtteri,LEADER,3
31,2,Lewis,+0.767,3
31,3,Max,+3.026,3
31,4,Nico,+4.580,3
31,5,Lance,+5.662,3
31,6,Daniel,+7.201,3
31,7,Pierre,+8.039,3
31,8,Lando,+8.971,3
31,9,Alexander,+9.711,3
31,10,Charles,+10.442,3
31,11,Carlos,+11.525,3
31,12,Esteban,+12.463,3
31,13,Kevin,+13.315,3
31,14,Daniil,+13.662,3
