index,pos,driver,gap,lap no
46,5,Sergio,+4.782,3
46,6,Alexander,+6.043,3
46,7,Carlos,+7.490,3
46,8,Pierre,+8.541,3
46,9,Charles,+9.214,3
46,10,Lando,+10.370,3
46,11,Sebastian,+11.184,3
46,12,Daniil,+12.050,3
46,13,Daniel,+12.826,3
46,14,Kevin,+13.751,3
46,15,Kimi,+14.332,3
46,16,Esteban,+14.958,3
46,17,Romain,+15.763,3
46,18,George,+16.446,3
46,19,Antonio,+17.170,3
46,20,Nicholas,+18.275,3
47,1,Lewis,LEADER,3
47,2,Max,+1.661,3
47,3,Lance,+3.231,3
47,4,Valtteri,+3.678,3
47,5,Sergio,+4.701,3
47,6,Alexander,+6.015,3
47,7,Carlos,+7.376,3
47,8,Pierre,+8.457,3
47,9,Charles,+9.115,3
47,10,Lando,+10.301,3
47,11,Sebastian,+11.133,3
47,12,Daniil,+11.983,3
47,13,Daniel,+12.732,3
47,14,Kevin,+13.751,3
47,15,Kimi,+14.332,3
47,16,Esteban,+14.962,3
47,17,Romain,+15.744,3
47,18,George,+16.439,3
47,19,Antonio,+17.170,3
47,20,Nicholas,+18.275,3
48,1,Lewis,LEADER,3
48,2,Max,+1.636,3
48,3,Lance,+3.353,3
48,4,Valtteri,+3.909,3
48,5,Sergio,+4.866,3
48,6,Alexander,+6.015,3
48,7,Carlos,+7.299,3
