overtaker,overtaken,date
senna,patrese,1993
senna,wendlinger,1993
senna,martini,1993
senna,berger,1993
senna,berger,1993
senna,prost,1993
senna,prost,1993
scumacher,zanardi,1993
boutsen,barbazza,1993
boutsen,decesaris,1993
boutsen,decesaris,1993
boutsen,badoer,1993
boutsen,badoer,1993
boutsen,fittipaldi,1993
boutsen,blundell,1993
barbazza,warwick,1993
barbazza,warwick,1993
barbazza,decesaris,1993
barbazza,badoer,1993
barbazza,alliot,1993
barbazza,katayama,1993
barbazza,zanardi,1993
barbazza,fittipaldi,1993
barbazza,fittipaldi,1993
barbazza,fittipaldi,1993
herbert,suzuki,1993
herbert,barbazza,1993
herbert,warwick,1993
herbert,warwick,1993
herbert,boutsen,1993
herbert,lehto,1993
herbert,patrese,1993
herbert,blundell,1993
barrichello,decesaris,1993
barrichello,boutsen,1993
barrichello,badoer,1993
barrichello,alliot,1993
barrichello,alliot,1993
barrichello,katayama,1993
barrichello,lehto,1993
barrichello,hill,1993
barrichello,fittipaldi,1993
barrichello,patrese,1993
barrichello,alesi,1993
barrichello,alesi,1993
barrichello,berger,1993
barrichello,berger,1993
patrese,barbazza,1993
patrese,barbazza,1993
patrese,warwick,1993
patrese,decesaris,1993
patrese,alliot,1993
patrese,barrichello,1993
patrese,barrichello,1993
patrese,lehto,1993
patrese,comas,1993
patrese,brundle,1993
patrese,brundle,1993
patrese,brundle,1993
patrese,blundell,1993
patrese,berger,1993
patrese,lamy,1993
patrese,andretti,1993
katayama,alboreto,1993
katayama,barbazza,1993
katayama,decesaris,1993
katayama,gounon,1993
berger,suzuki,1993
berger,suzuki,1993
berger,warwick,1993
berger,decesaris,1993
berger,badoer,1993
berger,alliot,1993
berger,barrichello,1993
berger,katayama,1993
berger,comas,1993
berger,fittipaldi,1993
berger,brundle,1993
berger,brundle,1993
berger,blundell,1993
berger,blundell,1993
berger,blundell,1993
berger,martini,1993
berger,martini,1993
berger,alesi,1993
andretti,barbazza,1993
andretti,warwick,1993
andretti,warwick,1993
andretti,decesaris,1993
andretti,badoer,1993
andretti,badoer,1993
andretti,badoer,1993
andretti,alliot,1993
andretti,alliot,1993
andretti,barrichello,1993
andretti,katayama,1993
andretti,katayama,1993
andretti,lehto,1993
andretti,lehto,1993
andretti,comas,1993
andretti,fittipaldi,1993
andretti,fittipaldi,1993
