overtaker,overtaken,overtaketimes,date
blundell,lamy,1,1995
schiattarella,moreno,2,1995
schiattarella,diniz,1,1995
schiattarella,suzuki,2,1995
badoer,gachot,1,1995
badoer,moreno,2,1995
badoer,inoue,2,1995
badoer,blundell,1,1995
badoer,diniz,3,1995
badoer,boullion,1,1995
badoer,suzuki,1,1995
badoer,salo,1,1995
badoer,deletraz,1,1995
badoer,hakkinen,1,1995
schumacher,alesi,1,1995
schumacher,herbert,1,1995
schumacher,barrichello,1,1995
schumacher,blundell,1,1995
schumacher,panis,1,1995
schumacher,frentzen,1,1995
schumacher,irvine,1,1995
schumacher,brundle,1,1995
schumacher,berger,3,1995
schumacher,coulthard,3,1995
schumacher,hill,3,1995
hill,herbert,1,1995
hill,frentzen,1,1995
hill,irvine,1,1995
hill,brundle,1,1995
hill,hakkinen,1,1995
hill,berger,2,1995
hill,coulthard,2,1995
hill,schumacher,3,1995
hakkinen,alesi,1,1995
hakkinen,herbert,1,1995
hakkinen,barrichello,1,1995
hakkinen,badoer,2,1995
hakkinen,blundell,1,1995
hakkinen,diniz,1,1995
hakkinen,boullion,1,1995
hakkinen,frentzen,1,1995
hakkinen,salo,1,1995
hakkinen,irvine,2,1995
irvine,herbert,2,1995
irvine,blundell,1,1995
irvine,frentzen,2,1995
irvine,brundle,1,1995
katayama,herbert,2,1995
katayama,inoue,1,1995
katayama,martini,3,1995
katayama,blundell,2,1995
katayama,panis,1,1995
katayama,boullion,1,1995
katayama,frentzen,1,1995
katayama,salo,1,1995
katayama,deletraz,2,1995
katayama,lamy,1,1995
katayama,berger,1,1995
alesi,katayama,1,1995
alesi,herbert,3,1995
alesi,badoer,1,1995
alesi,blundell,1,1995
alesi,frentzen,1,1995
alesi,salo,2,1995
alesi,irvine,2,1995
alesi,lamy,1,1995
alesi,berger,2,1995
alesi,hill,2,1995
berger,katayama,2,1995
berger,alesi,1,1995
berger,herbert,3,1995
berger,morbidelli,1,1995
berger,barrichello,1,1995
berger,martini,1,1995
berger,badoer,2,1995
berger,boullion,1,1995
berger,suzuki,2,1995
berger,frentzen,2,1995
berger,salo,2,1995
berger,verstappen,1,1995
berger,irvine,1,1995
berger,brundle,1,1995
berger,lamy,1,1995
berger,hill,2,1995
berger,irvinel,1,1995
barrichello,katayama,1,1995
barrichello,herbert,2,1995
barrichello,moreno,1,1995
barrichello,inoue,1,1995
barrichello,badoer,3,1995
barrichello,panis,1,1995
barrichello,frentzen,3,1995
barrichello,salo,2,1995
barrichello,irvine,1,1995
barrichello,hakkinen,1,1995
barrichello,lamy,2,1995
barrichello,berger,1,1995
barrichello,magnussen,1,1995
panis,katayama,1,1995
panis,herbert,2,1995
panis,morbidelli,1,1995
panis,barrichello,2,1995
panis,montermini,1,1995
panis,gachot,1,1995
panis,inoue,1,1995
panis,martini,2,1995
panis,badoer,1,1995
panis,blundell,2,1995
panis,boullion,1,1995
panis,suzuki,2,1995
panis,frentzen,4,1995
